CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
398,Spain,Female,71,1,73396.41,3,1,1,133401.19,0
824,Spain,Male,59,8,188300.64,3,1,0,52906.91,1
408,Spain,Female,72,2,54766.65,1,0,1,102285.67,1
519,Spain,Male,62,5,124581.18,2,0,1,72407.28,1
825,Spain,Female,43,6,206153.93,1,1,0,193085.09,1
537,Spain,Female,31,8,204083.6,4,1,1,196622.01,1
813,Spain,Male,56,4,198570.18,4,1,1,153163.35,1
620,France,Male,46,3,205933.6,1,0,0,196944.32,1
539,Germany,Female,69,10,52868.07,1,1,1,31574.62,1
795,Spain,Male,23,1,120554.07,2,0,1,198541.68,0
524,Spain,Female,24,2,121217.87,1,0,0,29675.62,1
795,Germany,Female,54,4,222625.62,3,1,1,88935.84,1
400,France,Male,70,10,74222.96,2,1,0,55400.04,1
713,Germany,Male,35,1,232873.97,1,1,0,191230.73,1
404,Germany,Male,40,3,112698.93,1,1,0,130800.09,1
593,Spain,Male,61,0,167446.75,4,0,0,123454.23,1
669,Germany,Female,55,3,67220.78,2,0,0,199513.32,1
480,Germany,Male,18,6,102574.53,4,0,0,126360.96,1
834,Spain,Male,21,2,177450.23,1,0,1,132770.38,0
656,Spain,Male,68,9,128186.79,2,1,0,18507.12,1
484,Spain,Male,61,7,232677.0,3,0,1,173219.61,1
370,Spain,Male,64,5,184281.24,1,1,0,194316.99,1
678,Germany,Female,52,5,141100.73,1,1,0,192459.12,1
516,Germany,Female,40,0,221667.44,4,0,0,52010.07,1
623,France,Male,44,4,166389.1,3,0,1,52923.92,0
737,France,Male,43,2,161830.12,1,0,1,79548.95,0
438,Germany,Female,69,9,61592.83,4,0,0,68939.91,1
665,France,Male,25,0,98714.24,4,0,1,68066.78,0
363,Germany,Female,60,7,170825.91,1,1,0,124991.18,1
591,France,Female,33,6,222947.93,2,1,0,163065.52,1
614,Spain,Male,58,6,78886.87,1,0,1,187985.95,1
695,France,Female,20,9,53871.41,3,0,0,22893.49,1
402,Spain,Male,49,9,148423.99,1,0,0,62815.91,1
735,Spain,Male,22,9,16799.27,2,0,1,58452.62,1
689,Spain,Female,37,3,178635.43,4,0,0,77913.54,1
441,Spain,Female,31,10,175784.64,3,0,0,90623.51,0
716,France,Male,49,5,88741.51,3,1,1,83942.58,0
793,Germany,Female,43,8,223169.41,3,1,1,190907.97,1
804,Spain,Male,64,2,125545.29,3,0,0,93054.52,1
777,France,Female,23,8,161441.24,2,0,0,114802.59,1
613,Spain,Female,75,3,52394.62,2,1,1,152240.32,1
780,France,Male,53,4,104335.08,2,0,1,147766.11,1
384,France,Male,57,6,215604.39,2,0,0,120763.27,1
555,France,Male,68,5,53234.89,4,0,1,173558.08,1
430,Germany,Female,22,9,97643.59,1,1,1,128594.45,1
769,France,Male,30,7,79519.14,2,0,1,176204.18,1
399,France,Male,49,7,37777.55,1,1,0,67525.49,0
709,Germany,Female,33,7,72429.48,3,0,0,35084.5,1
737,Germany,Female,18,2,58193.07,4,0,0,165708.89,1
351,France,Male,30,9,230898.41,4,1,0,82678.4,1
739,Germany,Male,71,5,185269.7,1,0,0,133706.07,1
403,Spain,Male,28,6,79025.4,1,1,1,150089.13,1
455,Spain,Male,70,8,190834.76,1,1,1,72074.99,1
609,Germany,Female,25,9,5534.99,4,0,1,105981.04,0
659,Germany,Female,42,9,131631.18,2,1,0,180036.04,1
826,France,Male,57,3,62583.64,4,1,0,177160.71,1
540,Germany,Male,49,4,28580.52,2,0,1,152377.84,0
751,France,Male,41,7,220939.63,3,0,1,154920.51,1
567,Spain,Female,45,0,49835.13,2,0,1,180560.05,0
393,Germany,Male,31,5,205597.77,1,1,1,149903.15,1
511,France,Male,62,3,103305.67,2,0,0,74521.22,1
551,France,Female,20,4,3572.69,2,0,0,32948.71,1
795,Spain,Female,53,10,183133.21,4,0,1,90157.98,1
833,Germany,Male,44,4,149089.94,1,0,0,26595.25,1
619,Spain,Male,37,1,86042.97,3,1,0,31996.45,1
700,France,Female,64,7,70386.48,2,0,0,190532.7,1
653,France,Male,32,1,18422.81,3,0,0,138418.52,1
620,Germany,Male,44,3,235356.4,1,0,1,171805.65,0
805,France,Female,70,4,123496.22,2,0,1,132150.85,1
811,Germany,Female,62,0,21381.13,4,0,0,89522.61,1
564,Spain,Female,58,5,217169.93,3,1,1,14780.17,1
601,Germany,Male,45,1,69708.29,4,0,0,191609.04,1
539,Germany,Female,42,4,50900.68,3,0,1,23477.17,0
645,France,Female,59,5,70234.36,1,1,1,125930.98,1
562,France,Male,61,10,141142.86,2,0,1,29418.61,1
557,Germany,Male,63,7,18514.12,3,1,1,63988.06,1
586,France,Female,50,8,120439.23,4,1,1,45305.32,0
687,France,Female,63,5,223935.86,3,1,1,115206.21,1
716,France,Male,31,4,47042.9,3,1,1,178544.32,1
402,Germany,Male,25,3,82797.19,3,0,0,130768.24,1
629,France,Female,65,1,99030.49,3,0,1,136195.72,1
759,Germany,Female,31,1,146555.18,3,1,0,182696.98,1
566,France,Male,18,6,229813.56,3,1,1,152390.79,1
601,Spain,Female,33,4,98634.8,4,1,1,174531.61,0
537,France,Male,35,6,17288.21,3,1,1,89114.5,1
729,France,Female,24,10,86987.72,3,1,0,174417.7,1
842,Germany,Male,32,0,47521.35,3,0,0,132713.66,1
390,Germany,Male,41,0,162943.62,2,1,0,35765.48,1
506,France,Female,66,4,7315.53,1,0,0,17355.38,1
364,Spain,Female,68,1,72982.49,1,1,0,56366.54,1
650,France,Male,72,7,136293.38,1,1,1,81886.43,1
414,France,Female,30,2,69333.55,4,0,0,169137.89,1
694,Spain,Female,26,0,137748.82,4,1,0,150836.47,1
676,Germany,Female,73,1,28678.08,4,0,0,191521.39,1
358,France,Male,73,9,235701.37,3,0,1,116243.21,1
693,Germany,Female,32,9,72726.7,1,1,1,152070.91,1
478,Germany,Female,74,6,230750.21,3,1,1,62303.84,1
841,Spain,Male,75,5,81458.86,2,0,0,139119.8,1
485,Spain,Female,52,7,195460.05,1,0,1,144168.73,1
821,Germany,Female,41,6,61546.84,2,1,0,171198.91,1
412,France,Male,50,9,167442.23,2,0,1,111916.67,0
488,Germany,Male,33,7,80929.05,3,1,1,133310.98,1
848,France,Female,25,2,127289.78,1,1,1,48579.27,1
430,France,Female,46,5,168453.54,2,1,1,149984.23,0
741,Spain,Male,40,6,147220.63,1,0,1,169298.23,1
512,France,Male,62,9,144070.15,2,1,0,122810.17,1
768,France,Female,48,10,16420.21,2,0,0,31978.15,1
638,Germany,Female,57,0,62269.21,3,0,1,69442.9,1
728,Spain,Female,66,0,142959.82,1,1,0,100347.78,1
610,France,Male,71,6,4579.3,3,0,1,138660.85,1
839,France,Female,72,10,62661.06,3,0,1,70862.15,1
580,Spain,Male,31,2,57296.31,3,0,1,169655.3,0
390,Germany,Male,70,2,62464.03,3,0,1,80640.06,1
377,Spain,Male,47,4,133902.37,3,0,1,18138.91,1
484,Spain,Female,70,10,145490.09,2,1,1,160858.94,1
550,France,Female,56,5,227249.5,1,1,1,132402.4,1
677,France,Female,44,1,96507.76,1,0,0,162371.73,1
617,Germany,Male,64,2,231644.73,3,1,0,76289.06,1
767,France,Female,33,5,162988.59,1,1,1,13349.74,1
382,France,Male,68,2,228165.1,2,1,0,24013.06,1
397,Spain,Male,23,4,208368.03,3,0,1,31242.15,0
756,France,Male,72,8,171895.61,4,0,0,162978.04,1
411,Germany,Male,50,2,89026.47,4,1,0,67272.6,0
565,Spain,Male,61,10,60277.61,2,1,1,199600.72,1
642,Germany,Male,35,5,55597.86,2,1,1,154093.8,1
448,Spain,Female,33,10,238043.46,4,0,0,124219.44,1
521,France,Male,29,4,239643.46,3,0,1,196887.69,0
709,Spain,Female,37,4,181207.84,2,1,0,70098.75,1
563,Spain,Male,62,10,220949.0,4,0,1,41466.96,1
824,France,Female,57,5,229749.04,3,0,0,150081.86,1
384,France,Female,46,5,127889.05,2,0,0,62835.84,1
798,Germany,Female,47,0,157264.92,1,1,0,192597.02,1
576,Germany,Female,43,10,104688.62,1,0,1,197733.17,1
450,France,Male,39,8,104622.69,1,0,0,186016.84,1
780,France,Male,50,4,9607.23,3,1,1,189504.73,1
811,France,Male,75,0,108455.37,2,1,1,126974.42,1
480,Spain,Male,70,7,168372.45,4,1,1,141502.54,1
606,Spain,Female,56,6,105495.54,2,0,1,27906.77,1
354,Spain,Female,64,6,218102.42,1,0,1,154979.53,1
567,France,Female,46,4,83140.74,1,0,0,48392.04,1
604,Germany,Male,39,0,33170.51,3,0,1,169661.95,0
747,France,Female,62,8,202889.67,4,0,1,192691.05,1
708,Spain,Male,30,10,168486.98,3,0,0,50351.75,1
632,Spain,Female,26,8,60454.87,4,1,0,24825.91,0
742,France,Female,41,7,134112.81,2,0,1,101939.13,0
556,France,Female,32,4,100463.08,3,0,1,160394.38,1
364,Spain,Female,53,2,234714.94,3,1,1,156421.63,1
695,Spain,Female,30,7,151833.02,3,1,0,142395.52,1
391,Spain,Male,44,0,39597.32,1,0,1,165932.24,1
729,France,Female,61,2,125537.11,1,0,1,43247.79,1
810,Spain,Male,54,10,215639.21,4,1,0,133868.17,1
528,Spain,Male,24,6,167874.17,2,0,0,125079.07,0
412,Germany,Male,25,3,210613.02,3,1,0,39152.03,1
701,France,Male,54,6,62599.83,1,1,1,88741.14,1
580,Germany,Male,58,10,222087.84,3,0,1,171980.65,1
590,Germany,Male,31,4,188902.83,4,1,1,194642.34,0
401,Spain,Male,75,5,182228.44,4,0,0,136431.73,1
445,France,Male,29,6,86635.27,2,1,0,185168.8,1
737,Spain,Female,53,9,221914.52,4,1,1,35089.35,1
571,France,Female,69,6,159494.84,3,1,0,195261.5,1
834,Germany,Male,57,6,212959.87,2,0,0,16366.23,1
756,France,Male,34,6,90242.86,2,0,0,110179.26,1
580,Spain,Male,57,10,36413.02,1,0,0,65291.58,1
586,Spain,Female,70,6,83084.3,3,0,1,164642.73,1
492,Spain,Female,46,2,113816.09,4,0,1,51333.29,1
520,France,Male,44,2,133351.84,1,0,0,12190.71,1
378,Germany,Male,18,6,127702.3,3,1,0,88775.8,1
385,Germany,Female,69,1,136513.65,3,1,0,22180.52,1
362,France,Female,51,1,210426.44,2,0,0,65117.59,1
509,Spain,Male,21,2,42525.31,2,0,0,132312.06,1
676,Germany,Male,41,3,79012.82,3,0,1,65993.6,0
536,Spain,Male,38,5,222152.12,1,1,0,56700.71,1
592,France,Male,50,7,140114.55,2,0,1,39544.18,0
435,Spain,Female,24,9,145847.47,2,0,1,35682.73,1
633,Germany,Female,18,9,119515.64,3,0,0,109912.9,1
415,Germany,Male,58,6,137243.66,3,1,1,139486.33,1
519,Spain,Male,20,3,49519.93,2,1,0,96019.31,0
394,France,Male,61,1,136716.72,1,1,0,33484.59,1
411,Spain,Female,68,1,249293.28,2,1,0,133073.7,1
790,France,Male,32,3,141511.89,3,0,1,115853.16,1
850,Spain,Male,48,5,11100.62,2,0,1,82442.34,0
483,Germany,Male,71,2,199108.91,3,0,1,72708.91,1
633,France,Female,33,5,99118.86,2,1,0,44799.05,0
377,France,Male,27,4,38419.04,3,0,1,37796.9,0
457,France,Female,71,4,215629.95,3,1,1,74366.62,1
393,Germany,Male,46,1,49493.31,1,0,1,17909.91,1
689,Spain,Male,23,7,230191.85,3,0,0,92959.21,1
635,Germany,Male,46,4,110449.12,2,0,1,124299.05,1
795,France,Female,34,10,185697.71,3,0,0,188914.31,0
680,Spain,Male,70,1,136748.96,4,1,1,128907.35,1
477,Germany,Male,39,6,64156.7,2,1,1,128574.45,0
697,France,Female,41,8,167772.54,1,1,1,81138.81,0
822,France,Female,34,8,239478.14,2,0,0,35330.26,1
580,Germany,Female,38,0,192409.24,1,1,0,94918.15,1
539,Germany,Male,68,6,151004.5,4,0,1,123748.5,1
574,Germany,Female,67,8,247657.03,1,0,1,147566.38,1
734,France,Male,28,5,66331.67,3,0,0,166956.49,0
726,Germany,Female,73,0,15585.37,4,0,0,58626.34,1
632,France,Female,24,1,8032.72,4,0,1,55831.81,0
795,Germany,Female,59,3,177671.97,1,1,1,117406.97,1
470,France,Male,56,3,207558.09,2,1,0,117542.88,1
465,France,Male,22,1,158775.13,1,0,1,51410.08,1
810,Spain,Male,61,7,226256.65,1,0,0,121620.31,1
582,Germany,Male,65,1,174494.01,4,1,1,75716.98,1
608,Germany,Male,74,2,92738.66,3,0,1,131469.83,1
708,France,Male,38,3,45314.57,2,1,1,65298.5,1
547,France,Male,35,8,231161.87,1,0,1,122535.44,0
805,France,Male,52,9,25899.29,3,1,0,155978.91,1
760,Spain,Male,37,0,135747.1,3,0,1,196230.17,0
486,Spain,Female,32,7,78501.98,2,1,1,183102.93,0
667,France,Female,22,4,67853.75,3,0,1,105672.36,0
514,Germany,Male,30,6,161458.71,1,0,1,102786.33,1
574,Germany,Male,68,7,57809.23,4,0,1,93163.0,1
656,Spain,Male,29,4,229091.28,3,0,1,15272.61,0
583,Spain,Male,72,7,101510.98,4,0,0,41531.35,1
521,France,Female,38,9,169343.84,2,1,1,21245.93,1
501,Germany,Female,54,10,181938.93,2,0,0,142307.47,1
812,France,Male,23,7,170735.42,3,0,0,88514.58,1
664,Spain,Female,24,8,225850.06,4,0,0,22116.28,1
723,Germany,Female,43,1,57782.72,1,0,0,141209.26,0
509,Germany,Male,59,2,21513.64,4,1,1,132442.81,1
445,Spain,Male,65,0,13866.42,3,1,1,146792.94,1
821,France,Male,25,3,219461.04,4,1,1,123968.48,1
582,France,Male,26,4,243321.76,4,0,0,40692.52,1
529,Germany,Female,44,10,75631.64,2,0,1,21664.54,1
462,Spain,Male,21,0,173378.48,3,0,0,165256.78,1
667,Germany,Female,38,7,2228.2,4,0,0,51003.71,1
846,Spain,Male,48,1,47157.88,3,0,1,113080.56,0
791,France,Female,38,0,172318.6,1,1,0,102191.23,1
401,Spain,Male,57,1,16471.78,3,1,0,184999.98,1
617,France,Male,42,4,117127.51,1,1,0,114963.55,1
644,Spain,Female,56,8,165645.82,3,0,0,120203.21,1
735,Germany,Female,32,8,191489.54,3,1,1,70705.96,1
736,France,Female,70,1,113453.98,4,1,0,192151.99,1
462,Germany,Male,52,1,157571.01,4,0,0,126351.02,1
450,Germany,Female,66,2,134893.91,1,1,0,10946.27,1
462,France,Female,60,6,13076.44,1,0,1,115655.63,1
789,France,Female,58,10,185701.17,2,0,1,79134.42,1
430,Germany,Female,54,2,43090.48,4,0,0,16101.32,1
536,Germany,Female,74,0,7951.38,1,0,1,91994.46,1
462,Germany,Female,59,5,112791.98,4,0,1,156977.63,1
351,Germany,Female,64,2,216409.4,3,1,1,105720.0,1
479,France,Female,45,0,37707.36,2,0,1,131497.23,0
569,France,Female,31,3,3214.38,4,0,0,131550.88,1
403,Germany,Male,21,0,27494.81,4,1,0,137493.67,1
692,Spain,Male,70,0,90914.78,4,0,1,83643.28,0
834,Spain,Female,37,1,145042.97,4,0,1,80300.92,1
573,France,Male,51,9,48253.03,1,1,1,10871.06,1
574,Germany,Male,29,7,200491.0,1,1,1,39302.27,1
734,Germany,Female,50,1,188324.28,2,0,1,190653.94,0
752,France,Female,41,10,173965.9,3,1,1,170059.18,1
475,Spain,Female,37,1,121867.45,3,0,1,62270.6,1
479,Spain,Female,22,10,91304.24,2,1,0,86226.47,1
402,Spain,Female,55,10,93896.66,3,1,0,188585.05,1
521,France,Female,47,9,125767.63,1,0,1,57584.45,1
567,Spain,Male,41,9,19328.67,4,0,1,111181.26,0
509,France,Female,60,7,170576.37,3,0,0,14195.16,1
547,France,Male,57,5,87876.89,4,1,0,127749.62,1
765,Germany,Female,24,10,56189.69,4,1,1,186713.98,0
596,Spain,Female,53,3,69581.77,1,1,0,178101.24,1
673,France,Male,55,2,45073.57,4,0,0,105374.15,1
788,Spain,Female,33,0,225392.02,3,1,1,133431.97,1
552,Spain,Female,69,10,42259.38,1,0,0,118261.66,1
533,Germany,Male,32,2,220731.53,2,0,1,22725.11,1
472,Spain,Female,63,8,143060.85,1,1,0,40157.46,1
750,Germany,Male,40,4,216862.74,3,1,1,193125.29,0
604,France,Female,29,5,118516.05,1,1,0,58634.05,1
643,Spain,Female,46,4,231908.43,3,1,0,83045.35,1
629,France,Male,61,0,52872.69,3,1,1,106699.42,1
674,Spain,Female,65,9,138672.94,1,0,0,196035.1,1
721,France,Male,32,0,31459.67,3,1,0,141098.77,0
447,Spain,Male,46,3,111805.07,2,0,1,129623.71,0
547,Spain,Male,62,2,142475.92,3,1,0,109635.99,1
819,Spain,Female,60,10,151418.81,2,1,0,143128.14,1
744,Spain,Female,66,7,91382.2,2,0,1,136163.02,0
589,Spain,Male,38,6,19083.91,3,1,1,181539.77,0
493,Spain,Female,32,10,163831.52,4,1,1,112948.71,1
446,Spain,Female,31,6,122107.97,2,0,1,90085.49,1
550,Spain,Female,59,7,34219.72,2,0,1,163360.79,1
473,Spain,Male,61,9,233968.99,1,1,1,161958.83,1
536,France,Female,33,6,238917.17,2,1,1,42268.92,1
675,Germany,Male,32,9,214151.57,2,1,1,54990.48,1
813,Spain,Female,59,1,210967.08,2,0,0,192141.27,1
698,Germany,Female,21,3,24667.82,2,1,0,94380.81,0
608,Spain,Male,44,10,248355.03,4,1,1,108735.53,0
497,Spain,Female,40,5,100095.17,2,1,0,68930.42,1
601,France,Male,46,2,40780.28,3,0,1,101403.49,0
792,France,Female,58,2,203025.43,4,1,0,151237.76,1
769,Germany,Male,70,5,56432.69,2,0,0,101645.57,1
752,France,Female,69,0,131543.83,3,0,1,69809.09,1
695,France,Female,26,0,32004.02,3,0,0,28240.19,0
800,Germany,Female,70,4,118661.43,4,0,0,186369.69,1
496,France,Male,74,0,139535.37,4,0,0,175614.99,1
497,Spain,Male,73,9,111480.99,3,1,1,160359.34,1
701,Germany,Male,69,7,17371.71,4,0,0,141873.48,1
548,Germany,Female,60,1,121234.76,4,1,0,107946.88,1
657,Spain,Male,60,5,117235.71,1,1,1,180505.39,1
838,France,Male,24,9,65405.07,4,0,0,160423.29,1
766,Germany,Male,70,9,230400.4,1,0,0,165042.06,1
773,Germany,Male,59,4,104448.08,4,0,0,68814.59,1
477,Spain,Male,21,9,216028.95,4,0,0,90457.07,1
388,Spain,Male,22,3,27415.96,3,1,1,144292.43,1
687,France,Male,22,0,79719.32,1,1,1,80501.84,0
709,Germany,Male,28,2,44082.71,4,0,1,103855.18,0
478,France,Male,58,3,102102.7,2,0,0,132837.46,1
616,France,Male,45,1,27909.17,4,1,1,93174.1,0
825,Spain,Female,33,1,110258.7,3,1,0,160677.53,1
790,Germany,Female,58,1,88467.69,3,0,0,32092.98,1
822,Germany,Male,71,10,55828.76,3,1,1,146430.74,1
783,Germany,Female,47,0,160544.85,1,1,1,37589.91,1
500,Spain,Female,21,9,237727.87,1,1,1,188189.53,1
764,Spain,Male,19,1,51778.37,1,0,0,69667.16,1
827,Spain,Male,63,5,177947.71,2,0,0,161132.15,1
647,Spain,Male,20,2,185595.22,1,1,0,109069.23,1
448,Spain,Female,67,9,124530.13,3,0,0,27306.54,1
612,Germany,Male,38,4,224417.09,1,1,1,120691.5,0
601,France,Female,23,0,241597.52,1,1,1,183313.77,0
493,Germany,Male,60,7,90561.61,4,0,0,39874.54,1
695,France,Female,70,3,162758.32,1,0,0,71048.32,1
461,Spain,Female,35,8,165553.15,4,1,1,93440.15,1
849,France,Male,61,3,100908.88,1,0,1,62260.08,1
409,Germany,Male,22,1,79197.77,4,0,0,189318.1,0
718,Germany,Female,26,2,233436.05,3,0,1,81725.05,1
351,France,Female,37,4,197495.39,1,0,0,135031.79,1
734,Spain,Male,45,9,28616.14,3,1,0,52544.19,0
653,Spain,Male,43,5,29971.02,1,1,0,51744.13,1
603,Germany,Female,35,6,230635.69,2,0,0,43411.37,0
489,France,Male,36,3,20352.44,2,1,1,92614.33,1
802,Spain,Female,20,6,172105.34,3,0,1,111243.06,1
386,Spain,Male,26,9,56689.56,3,0,0,12042.15,1
509,Germany,Male,53,2,8796.34,2,0,0,168255.45,1
358,Spain,Male,48,6,14909.39,2,1,0,107423.24,1
582,France,Female,66,3,93380.53,4,1,0,39869.89,1
448,Germany,Male,34,7,19397.11,1,1,0,22785.73,1
496,Germany,Female,72,8,149159.8,2,0,1,22007.87,1
653,France,Male,40,6,161813.63,3,1,0,58952.26,1
557,Germany,Female,51,7,93367.14,3,1,1,104865.51,1
480,Spain,Female,58,7,185719.52,2,0,0,173445.51,1
753,Spain,Male,58,1,122510.63,3,0,0,181563.43,1
501,France,Female,22,8,107557.13,1,0,0,168142.3,1
403,Spain,Female,32,5,101747.02,4,0,0,72427.06,1
469,France,Female,64,10,107776.62,1,1,1,68245.97,1
510,France,Female,20,3,241971.91,4,1,1,197617.09,1
757,Spain,Male,36,4,170351.77,4,0,1,139443.32,0
465,France,Male,45,9,78802.46,2,0,0,67940.87,0
424,Spain,Male,20,4,183464.97,3,0,1,72525.23,1
462,Germany,Female,55,6,82566.85,4,0,0,92582.44,1
805,Germany,Female,21,8,31428.73,2,1,0,128143.27,1
769,France,Male,41,6,118840.09,3,0,1,180616.04,1
771,Spain,Male,48,8,187755.96,3,0,0,47678.35,0
453,Spain,Female,62,3,94414.98,4,1,0,26036.65,1
689,Germany,Male,62,9,217293.54,3,0,1,87092.9,1
603,Germany,Male,28,9,96738.18,1,0,1,56636.54,0
576,Spain,Female,54,3,87459.76,3,0,0,119446.21,1
461,France,Male,18,5,249560.98,1,0,1,142850.82,1
822,Germany,Female,26,7,120618.01,3,0,1,69039.83,0
448,France,Male,34,8,201305.3,4,1,1,140235.74,0
502,France,Female,71,0,201247.01,4,1,0,75197.98,1
698,Germany,Female,18,0,231592.33,2,1,0,130643.95,1
751,France,Female,20,7,21223.76,1,1,1,130281.55,0
733,France,Female,64,10,67805.07,1,0,0,62850.34,1
715,Spain,Female,43,6,191937.02,4,0,0,130787.32,1
687,France,Male,70,8,140650.37,4,0,1,82381.47,1
543,Spain,Male,48,10,139903.74,4,0,1,73926.44,1
659,Germany,Male,43,2,41553.83,1,0,1,64964.67,0
512,Germany,Female,40,9,70288.25,2,0,0,75672.6,0
557,Spain,Male,47,4,130333.52,1,1,0,159481.53,1
794,Germany,Female,27,2,69295.34,4,0,0,56583.97,1
518,France,Female,25,4,52570.7,2,0,0,139577.61,1
833,France,Male,61,9,21939.01,3,1,1,181117.91,1
510,France,Female,42,0,38931.5,3,1,1,76581.5,0
417,Germany,Male,39,10,192216.94,4,0,1,15607.29,0
638,France,Female,32,3,179694.8,2,1,1,14675.15,1
747,Germany,Female,58,5,11458.42,4,1,1,36505.55,1
626,France,Male,73,1,50821.02,1,0,0,30908.52,1
653,Spain,Female,74,6,140113.84,1,0,1,152136.2,1
753,Germany,Male,27,7,80656.96,2,1,0,66021.64,1
733,Germany,Female,37,0,205812.4,4,1,0,133976.86,1
741,France,Male,58,3,196247.33,4,1,1,18066.53,1
484,Germany,Female,64,10,222895.14,3,1,0,66190.65,1
544,Germany,Male,40,3,140732.81,2,1,0,54487.78,1
750,Spain,Male,70,4,88019.12,4,1,1,62607.3,1
477,Spain,Female,70,3,151516.17,1,0,0,46236.38,1
382,France,Male,18,8,22284.17,4,0,1,127404.04,0
525,Spain,Female,19,6,2396.5,4,1,1,135907.85,0
809,France,Female,75,1,4273.38,1,1,0,38208.44,1
792,France,Male,36,0,101885.73,1,0,0,150817.74,1
720,France,Male,31,8,57019.4,4,1,1,57508.64,0
819,Germany,Male,25,0,39334.43,1,0,0,63755.28,1
724,Spain,Male,55,5,153831.5,3,1,1,167473.58,1
371,France,Male,29,1,248773.76,3,1,1,181221.52,1
587,Spain,Female,43,3,44438.3,3,1,1,166703.7,1
507,France,Male,44,5,136605.36,1,1,1,38074.94,1
387,Spain,Female,46,4,29931.88,1,0,1,199860.85,0
579,Spain,Male,32,10,233559.11,1,0,1,137709.53,0
714,France,Male,63,5,72938.79,2,0,0,107027.04,1
400,Germany,Male,70,2,219584.96,1,0,1,191419.87,1
787,Spain,Female,18,4,70769.11,3,1,0,165302.28,1
613,Germany,Male,60,1,201513.12,3,0,0,141431.18,1
632,Germany,Female,45,6,52345.33,3,0,0,169295.48,1
376,France,Female,74,2,73197.36,2,0,1,83238.65,1
575,France,Female,20,0,48118.84,4,1,1,140043.3,0
626,France,Male,68,7,66064.97,3,1,0,46210.2,1
635,Spain,Female,35,7,208716.44,2,1,1,197720.12,0
446,France,Male,69,2,159758.12,4,1,0,121906.52,1
633,France,Female,51,6,101469.92,2,1,1,164705.08,0
716,Spain,Male,49,8,242880.26,2,0,1,87394.58,1
797,Spain,Female,46,7,116215.38,4,0,1,154131.88,0
830,France,Male,42,2,242439.99,1,0,0,83603.13,1
802,France,Male,43,1,49146.73,1,0,0,122100.97,1
666,France,Male,56,9,226159.61,3,1,0,157845.61,1
653,France,Female,25,6,3455.55,4,0,1,32130.04,0
496,Germany,Female,36,6,136325.8,3,1,1,77789.31,1
353,Germany,Male,71,8,105763.1,2,1,0,113538.02,1
384,France,Female,64,4,131271.96,1,0,0,73459.56,1
541,Germany,Female,59,3,138361.21,3,0,0,68741.77,1
398,Spain,Female,39,7,97257.84,3,0,1,63516.18,1
366,Germany,Female,46,3,249549.46,1,0,0,53280.45,1
521,Germany,Female,50,3,244126.8,2,0,1,171291.87,1
569,France,Female,55,1,240436.34,3,1,1,185500.93,1
